university,course,grescore,testscore,undergradscore,workex,status
Arizona State University,Management Information System,313,107,62,6,2
Arizona State University,Management Information System,314,106,72.485,6,2
Arizona State University,Management Information System,307,109,62,1,2
Arizona State University,Management Information System,290,109,66.5,48,2
Arizona State University,Management Information System,306,90,77.9,24,2
Arizona State University,Management Information System,310,100,85.12,2,2
Arizona State University,Management Information System,309,88,73.055,16,2
Arizona State University,Management Information System,310,103,71.25,29,2
Arizona State University,Management Information System,301,93,65.23,26,2
Arizona State University,Management Information System,305,89,84.17,17,2
Arizona State University,Management Information System,312,115,73,33,2
Arizona State University,Management Information System,319,100,64.03,28,2
Arizona State University,Management Information System,305,88,57.7,12,2
Arizona State University,Management Information System,307,87,70,27,2
Arizona State University,Management Information System,306,92,71,36,2
Arizona State University,Management Information System,315,104,77,3,1
Arizona State University,Management Information System,311,101,73.53,25,1
Arizona State University,Management Information System,312,110,81.7,24,1
Arizona State University,Management Information System,307,103,76,34,1
Arizona State University,Management Information System,321,102,71.25,12,1
Arizona State University,Management Information System,310,101,66,22,1
Arizona State University,Management Information System,306,103,63.17,27,1
Arizona State University,Management Information System,305,91,64,15,1
Arizona State University,Management Information System,299,88,83,30,1
Arizona State University,Management Information System,314,91,75.335,16,1
Arizona State University,Management Information System,305,109,77.9,31,1
Arizona State University,Management Information System,318,111,63.46,6,1
Arizona State University,Management Information System,308,84,68.5,43,0
Arizona State University,Management Information System,301,91,59.85,21,0
Arizona State University,Management Information System,310,96,68.68,41,0
Arizona State University,Management Information System,312,105,71.725,27,0
Arizona State University,Management Information System,301,88,81.7,55,0
Arizona State University,Management Information System,303,90,67,14,0
Arizona State University,Management Information System,308,84,68.94,43,0
Arizona State University,Management Information System,305,98,53.63,18,0
Arizona State University,Management Information System,302,101,79.8,41,0
Arizona State University,Management Information System,303,89,65,15,0
Arizona State University,Management Information System,316,107,68.02,6,0
Arizona State University,Management Information System,302,92,71.1,35,0
Arizona State University,Management Information System,311,101,82.2,18,0
Arizona State University,Management Information System,308,86,76.95,14,0
Arizona State University,Management Information System,299,97,59,12,0
Boston University,Management Information System,313,101,73,30,2
Boston University,Management Information System,336,107,57,30,2
Boston University,Management Information System,301,101,60.325,10,2
Boston University,Management Information System,296,90,53.865,8,1
Boston University,Management Information System,316,106,64.125,5,1
Boston University,Management Information System,310,112,72.3,22,1
Boston University,Management Information System,310,97,56,82,1
Boston University,Management Information System,300,97,57.8075,6,1
Boston University,Management Information System,315,99,73.42,26,1
Boston University,Management Information System,298,88,53,20,1
Boston University,Management Information System,309,108,71.25,10,1
Carnegie Mellon University,Information Management and Systems,312,110,86.355,16,2
Carnegie Mellon University,Information Management and Systems,311,102,74,85,2
Carnegie Mellon University,Information Management and Systems,320,104,65,60,2
Carnegie Mellon University,Information Management and Systems,307,103,76,34,2
Carnegie Mellon University,Information Management and Systems,324,113,78.04,5,2
Carnegie Mellon University,Information Management and Systems,300,103,85.5,30,2
Carnegie Mellon University,Information Management and Systems,324,110,63.58,16,2
Carnegie Mellon University,Information Management and Systems,319,111,91.2,6,2
Carnegie Mellon University,Information Management and Systems,318,109,72,60,2
Carnegie Mellon University,Information Management and Systems,325,109,63.65,17,2
Carnegie Mellon University,Information Management and Systems,322,116,76.95,6,2
Carnegie Mellon University,Information Management and Systems,296,91,72,20,2
Carnegie Mellon University,Information Management and Systems,312,98,77.8,31,2
Carnegie Mellon University,Information Management and Systems,308,102,71.06,15,1
Carnegie Mellon University,Information Management and Systems,315,108,83.3,8,1
Carnegie Mellon University,Information Management and Systems,321,109,83,18,1
Carnegie Mellon University,Information Management and Systems,310,107,70.205,14,1
Carnegie Mellon University,Information Management and Systems,315,109,85.4,6,1
Carnegie Mellon University,Information Management and Systems,315,110,81.7,3,1
Carnegie Mellon University,Information Management and Systems,316,114,75,44,1
Carnegie Mellon University,Information Management and Systems,316,104,81.225,60,1
Carnegie Mellon University,Information Management and Systems,317,112,82.84,36,1
Carnegie Mellon University,Information Management and Systems,314,108,66.5,24,1
Carnegie Mellon University,Information Management and Systems,305,109,86,25,1
Carnegie Mellon University,Information Management and Systems,314,109,77,38,1
Carnegie Mellon University,Information Management and Systems,318,103,90,27,1
Carnegie Mellon University,Information Management and Systems,320,111,75.81,30,1
Carnegie Mellon University,Information Management and Systems,314,108,77.1,22,1
Carnegie Mellon University,Information Management and Systems,321,106,78,36,1
Carnegie Mellon University,Information Management and Systems,321,109,81,18,0
Carnegie Mellon University,Information Management and Systems,319,101,85.45,7,0
Carnegie Mellon University,Information Management and Systems,322,110,29.45,12,0
Carnegie Mellon University,Information Management and Systems,324,106,74.1,33,0
Carnegie Mellon University,Information Management and Systems,325,116,80.56,2,0
Carnegie Mellon University,Information Management and Systems,315,109,63.84,29,0
Carnegie Mellon University,Information Management and Systems,293,101,82.84,20,0
Carnegie Mellon University,Information Management and Systems,321,108,63.22,21,0
Carnegie Mellon University,Information Management and Systems,318,109,64.125,13,0
Carnegie Mellon University,Information Management and Systems,314,114,77.2,20,0
Carnegie Mellon University,Information Management and Systems,330,107,87.685,15,0
Carnegie Mellon University,Information Management and Systems,329,110,70.3,4,0
Carnegie Mellon University,Information Management and Systems,317,106,73.4,82,0
Carnegie Mellon University,Information Management and Systems,320,110,58.9,40,0
Carnegie Mellon University,Information Systems,318,97,77.425,6,2
Carnegie Mellon University,Information Systems,312,110,72.39,2,2
Carnegie Mellon University,Information Systems,308,98,65,25,2
Carnegie Mellon University,Information Systems,313,111,80.75,31,2
Carnegie Mellon University,Information Systems,321,104,71,76,2
Carnegie Mellon University,Information Systems,325,108,69.54,6,2
Carnegie Mellon University,Information Systems,328,112,75,30,2
Carnegie Mellon University,Information Systems,316,102,75.905,13,2
Carnegie Mellon University,Information Systems,322,105,67,68,2
Carnegie Mellon University,Information Systems,310,103,76.95,1,2
Carnegie Mellon University,Information Systems,323,99,68.78,2,2
Carnegie Mellon University,Information Systems,319,100,71,54,2
Carnegie Mellon University,Information Systems,314,104,58,53,2
Carnegie Mellon University,Information Systems,311,104,81.7,2,2
Carnegie Mellon University,Information Systems,321,106,74.005,20,2
Carnegie Mellon University,Information Systems,332,112,81.7,15,2
Carnegie Mellon University,Information Systems,317,105,60.135,57,2
Carnegie Mellon University,Information Systems,308,100,86.45,21,2
Carnegie Mellon University,Information Systems,311,113,58.05,36,2
Carnegie Mellon University,Information Systems,316,102,72.01,42,1
Carnegie Mellon University,Information Systems,320,107,69,60,1
Carnegie Mellon University,Information Systems,316,116,77.805,3,1
Carnegie Mellon University,Information Systems,322,110,79.04,27,1
Carnegie Mellon University,Information Systems,324,109,70.3,21,1
Carnegie Mellon University,Information Systems,317,106,83.695,32,1
Carnegie Mellon University,Information Systems,316,112,80.56,21,1
Carnegie Mellon University,Information Systems,317,104,78.85,23,1
Carnegie Mellon University,Information Systems,323,112,66.21,27,1
Carnegie Mellon University,Information Systems,315,105,90.82,19,1
Carnegie Mellon University,Information Systems,314,109,81.7,24,1
